seqnames,start,end,width,strand,score,gene,peak,zscore,pvalue,p_adjusted
chr1,27872532,28193936,321405,*,0.0840602641126818,PTAFR,chr1-27872100-27872964,2.06346971232325,0.0195340112748161,0.028405609881533
chr1,27891663,28193936,302274,*,0.11149432741799,PTAFR,chr1-27891212-27892113,4.95443506851469,3.62703672812204e-07,6.03088658724292e-06
chr1,28193936,28438089,244154,*,0.059255327756415,PTAFR,chr1-28437676-28438501,1.76925478181104,0.0384256829097329,0.0430803634017047
chr1,28259527,28601986,342460,*,0.0911656603702355,SESN2,chr1-28601562-28602410,2.7427143426981,0.0030466833786379,0.00793684886644621
chr1,30435799,30723587,287789,*,0.0776633470748416,MATN1,chr1-30435331-30436266,3.30120243638896,0.000481356967336684,0.00195050697184663
chr1,30723587,30847670,124084,*,0.0788581906380511,MATN1,chr1-30847211-30848128,2.46905705934479,0.00677348077062251,0.0140118937262727
chr1,30732336,30757820,25485,*,0.0721064665554329,LAPTM5,chr1-30731928-30732744,2.15164749184602,0.0157125643123048,0.0246153297965997
chr1,30753997,30757820,3824,*,0.0874261013442897,LAPTM5,chr1-30753620-30754374,2.47516709720654,0.00665869258078354,0.0138337852755443
chr1,30756819,30757820,1002,*,0.229613360167411,LAPTM5,chr1-30756396-30757242,4.81161579078741,7.48574774081803e-07,1.11065463403768e-05
chr1,30757820,30816515,58696,*,-0.119884230545768,LAPTM5,chr1-30816063-30816966,-2.17615096723946,0.0147719869617824,0.0236803594181233
chr1,30757820,30824368,66549,*,-0.130423076999212,LAPTM5,chr1-30823932-30824804,-2.42847305203006,0.00758127593501629,0.0151249121053573
chr1,30757820,30847670,89851,*,-0.111609410055367,LAPTM5,chr1-30847211-30848128,-1.7761415597409,0.037854793844933,0.0426556331291459
chr1,30757820,30913105,155286,*,0.132993704930345,LAPTM5,chr1-30912652-30913557,3.91457032568976,4.52826696260867e-05,0.000310160558149134
chr1,30757820,30919270,161451,*,0.0707922630021338,LAPTM5,chr1-30918859-30919680,1.89471469116651,0.0290651051751185,0.0367178247719208
chr1,30757820,31102810,344991,*,0.130105569250202,LAPTM5,chr1-31102302-31103318,2.51118541726918,0.00601632388489742,0.0128821997215699
chr1,30786786,30908761,121976,*,0.183977928020713,SDC3,chr1-30786343-30787228,2.08705544215061,0.0184415615955116,0.0272275597102133
chr1,30798547,30908761,110215,*,0.19081036737479,SDC3,chr1-30798084-30799009,2.21889043799586,0.0132470896006545,0.0220087463570115
chr1,30824368,30908761,84394,*,0.185669760998775,SDC3,chr1-30823932-30824804,1.99459021532784,0.0230437958162851,0.0314245428241309
chr1,32040899,32336379,295481,*,0.161639802419217,MARCKSL1,chr1-32040384-32041413,3.12531966658805,0.00088805966660406,0.00312343086241049
chr1,32236337,32336379,100043,*,0.155344932869478,MARCKSL1,chr1-32235879-32236795,2.20802280311864,0.0136213418090126,0.0224171024583818
chr1,32240310,32336379,96070,*,0.151933395520633,MARCKSL1,chr1-32239878-32240741,2.60141512251683,0.00464200178231142,0.0107407546037935
chr1,32241541,32336379,94839,*,0.117760633556922,MARCKSL1,chr1-32241125-32241957,1.75952619590563,0.0392440874254242,0.0436105615686588
chr1,32247055,32336379,89325,*,0.182116850759225,MARCKSL1,chr1-32246612-32247497,2.82250624296174,0.00238249471383123,0.00655355933262647
chr1,32336379,32349474,13096,*,0.137865756400134,MARCKSL1,chr1-32349052-32349895,2.48280344374164,0.00651764961743065,0.0136525223524112
chr1,32336379,32351460,15082,*,0.147285804411913,MARCKSL1,chr1-32351007-32351913,2.08931855417927,0.0183395286390987,0.0271517369044317
chr1,32336379,32394575,58197,*,0.154099075138928,MARCKSL1,chr1-32394116-32395033,2.08954767961909,0.0183292253237197,0.0271448171102508
chr1,32336379,32448433,112055,*,0.120104368539989,MARCKSL1,chr1-32448011-32448854,2.86307622092276,0.00209774811917145,0.00598540913055901
chr1,32336379,32693621,357243,*,0.114092756977019,MARCKSL1,chr1-32693135-32694106,2.15040598468157,0.0157615576861393,0.0246600360683204
chr1,35497878,35769967,272090,*,0.0598616702891232,CLSPN,chr1-35497474-35498281,2.37185561704997,0.00884950273310854,0.0166878253369018
chr1,35769967,35883140,113174,*,0.0928477161035406,CLSPN,chr1-35882692-35883588,3.09787743763159,0.000974560098050055,0.00335426751805665
chr1,36203752,36483278,279527,*,0.118391079695779,CSF3R,chr1-36203296-36204208,2.43208025157227,0.0075061903328555,0.0150310837977696
chr1,37692350,37692418,69,*,0.0653864896019143,CDCA8,chr1-37691896-37692804,1.82823930386435,0.0337568223266752,0.0400628592811291
chr1,37692418,38028354,335937,*,0.0681120753296282,CDCA8,chr1-38027891-38028817,2.58207035529411,0.00491047807899337,0.0111479874279219
chr1,39845823,39955112,109290,*,0.0689007075276876,MFSD2A,chr1-39845375-39846270,2.4281219549816,0.00758861939255297,0.0151333013692682
chr1,39902056,39955112,53057,*,0.0639277486563823,MFSD2A,chr1-39901606-39902505,2.11866662363855,0.0170593254609581,0.0260069767223332
chr1,39955112,39988105,32994,*,0.0679432037373349,MFSD2A,chr1-39987653-39988556,2.56623514533585,0.00514045530254067,0.0114596742805599
chr1,42932227,43358955,426729,*,0.068918485863069,CDC20,chr1-42931762-42932691,2.70152387207782,0.00345112626194277,0.00867639772423778
chr1,43295602,43358955,63354,*,0.0779434682344382,CDC20,chr1-43295070-43296133,3.69421747350617,0.000110282487872788,0.000618351344793703
chr1,43358955,43835209,476255,*,0.0619743544741523,CDC20,chr1-43834757-43835661,2.38991373893094,0.00842616520396326,0.0161993659397098
chr1,43707505,44031467,323963,*,0.10030336736558,SLC6A9,chr1-43707070-43707940,2.35554146073609,0.00924786644564281,0.0172041712966395
chr1,43946707,44031467,84761,*,0.108312301739838,SLC6A9,chr1-43946246-43947167,2.68260006200872,0.00365261471249731,0.00903455269692863
chr1,43979240,44031467,52228,*,0.0995339334735476,SLC6A9,chr1-43978821-43979658,2.39844084366059,0.00823251789432604,0.0159811599381804
chr1,43991689,44031467,39779,*,0.0954164460283406,SLC6A9,chr1-43991256-43992122,2.42981237224537,0.00755332048597574,0.0150816196204451
chr1,44739755,44739818,64,*,0.0614957123791134,KIF2C,chr1-44739326-44740183,1.86706270507549,0.0309464158871481,0.0381353481747581
chr1,45381706,45491166,109461,*,0.120213815100365,TESK2,chr1-45381247-45382164,1.93933397716953,0.0262303420845083,0.034286448775142
chr1,45409300,45491166,81867,*,0.090203322708823,TESK2,chr1-45408853-45409747,1.83473268110365,0.0332726537316771,0.0397176911342321
chr1,45491166,45491277,112,*,0.12661761677326,TESK2,chr1-45490823-45491730,2.01321428704321,0.0220460454276765,0.0307242864312879
chr1,45491166,45501329,10164,*,0.118095811809394,TESK2,chr1-45500935-45501722,2.0132823259258,0.0220424683132823,0.0307242864312879
chr1,47314147,47314308,162,*,0.109730931610637,STIL,chr1-47313851-47314764,4.2467343239897,1.08454455389949e-05,0.000100570650748141
chr1,47314147,47436534,122388,*,0.0584885993756697,STIL,chr1-47436238-47436829,2.98317516095318,0.00142637339869688,0.00444026631924879
chr1,48224110,48472208,248099,*,0.131811675781444,SPATA6,chr1-48223689-48224531,2.15648608235881,0.0155228646879203,0.0244611939624679
chr1,48472208,48472215,8,*,0.205404674927815,SPATA6,chr1-48471774-48472655,1.9063408618595,0.0283029980019931,0.0360372819389404
chr1,58784327,59147026,362700,*,0.0607350988212165,JUN,chr1-59146573-59147478,2.16062243764124,0.0153622583698187,0.0243033344602464
chr1,63322588,63323041,454,*,0.126432149928557,FOXD3,chr1-63322126-63323050,2.01086361362611,0.022169932312033,0.0307696433369313
chr1,63323041,63327744,4704,*,0.0959693747219982,FOXD3,chr1-63327304-63328183,1.7942455117158,0.0363869954216004,0.0417956388573028
chr1,63323041,63698590,375550,*,0.055930839580266,FOXD3,chr1-63698187-63698992,1.68431609738016,0.0460602980229433,0.0476199954966287
chr1,63638515,63774022,135508,*,0.161287331386249,ROR1,chr1-63638083-63638946,1.83727536423952,0.0330846274263461,0.0395639518220881
chr1,63774022,64073958,299937,*,0.117966349568021,ROR1,chr1-64073530-64074386,1.99993750632127,0.0227535062531611,0.0312318266873734
chr1,66752459,66758267,5809,*,0.18473997973105,TCTEX1D1,chr1-66757835-66758699,1.95170088368347,0.0254868638191334,0.0336798183984273
chr1,67307364,67314848,7485,*,0.109787960569016,IL12RB2,chr1-67314549-67315147,2.58645793759908,0.00484840024039843,0.0110591229702939
chr1,67685061,68012129,327069,*,0.119004397901759,GADD45A,chr1-68011736-68012522,2.28811078258776,0.0110655352389466,0.0196172943563493
chr1,67685061,68104396,419336,*,0.119244849470611,GADD45A,chr1-68103924-68104868,1.79468725662266,0.0363517710131367,0.0417773191746528
chr1,67832004,67833467,1464,*,0.15633424096141,GNG12,chr1-67831612-67832395,1.72352178489428,0.0423971045564934,0.0455470884606233
chr1,68107981,68497221,389241,*,0.0843603597302315,DEPDC1,chr1-68107534-68108428,1.95101477551555,0.0255276440785616,0.033705996644804
chr1,68232591,68497221,264631,*,0.0789210644548846,DEPDC1,chr1-68232184-68232997,2.21316415458056,0.0134431652011407,0.0222262215078221
chr1,68331276,68497221,165946,*,0.0854685566211345,DEPDC1,chr1-68330777-68331774,2.67749650167229,0.00370873135691304,0.00912423602195647
chr1,68497145,68497221,77,*,0.197286348499118,DEPDC1,chr1-68496714-68497576,5.29292455059239,6.01877965777751e-08,1.41573441511235e-06
chr1,74198187,74356728,158542,*,0.059260206716772,LRRIQ3,chr1-74356231-74357224,1.71002745594477,0.0436303980307632,0.0463302751165691
chr1,76786418,76867441,81024,*,0.0826254856012122,ST6GALNAC5,chr1-76785972-76786864,2.68894981819425,0.00358385966954995,0.00891251744536867
chr1,77272132,77282051,9920,*,0.188157322595801,AK5,chr1-77271666-77272597,1.9142458812896,0.0277943729088516,0.0355880154451627
chr1,78617800,79006718,388919,*,0.110252498371672,ADGRL4,chr1-78617385-78618215,2.15973375059184,0.0153966434253038,0.0243418408514148
chr1,79006718,79367389,360672,*,0.13234226157167,ADGRL4,chr1-79366924-79367853,2.36220704290404,0.00908324663714058,0.0170258251350042
chr1,81226364,81306160,79797,*,0.0704223027038931,ADGRL2,chr1-81225896-81226832,2.33885548533177,0.00967145699001307,0.017759240520123
chr1,83999328,84398532,399205,*,0.0606756756336404,DNASE2B,chr1-83998893-83999763,1.66433381241492,0.0480228694593067,0.0487816044939493
chr1,84398532,84599563,201032,*,0.078188940164551,DNASE2B,chr1-84599059-84600067,2.05022261870305,0.020171355868062,0.0290564998808819
chr1,85048499,85276666,228168,*,0.205518997935,MCOLN3,chr1-85276224-85277107,2.02658837621913,0.0213522631456345,0.0301054423649852
chr1,85276666,85578363,301698,*,0.108000003534836,DDAH1,chr1-85276224-85277107,2.17484405521492,0.014820902222218,0.023723560876367
chr1,85464995,85578363,113369,*,0.144375509718747,DDAH1,chr1-85464501-85465488,2.75690150456852,0.00291759627150181,0.00768751649781824
chr1,86156943,86278106,121164,*,0.155739219002392,COL24A1,chr1-86277649-86278563,2.28407056536815,0.011183692066972,0.0197465262346902
chr1,93448131,93847491,399361,*,0.135638337638907,FNBP1L,chr1-93847045-93847937,1.65123340288661,0.0493454624738333,0.0495406662604256
chr1,93814299,94275068,460770,*,0.0712836917448132,ARHGAP29,chr1-93813892-93814705,1.8915702711079,0.02927413000652,0.0368596032916301
chr1,94034004,94275068,241065,*,0.15354901622022,ARHGAP29,chr1-94033510-94034498,4.71267308921974,1.22244127031691e-06,1.6373921681856e-05
chr1,94247647,94541800,294154,*,0.0841098977514338,F3,chr1-94247211-94248082,2.38695295504421,0.00849433254621543,0.0162732107818239
chr1,94541800,94820355,278556,*,0.0720565738287351,F3,chr1-94819912-94820798,1.93771170370707,0.0263292026258867,0.0343690890801369
chr1,94541800,94854659,312860,*,0.0640940258391112,F3,chr1-94854229-94855089,1.76966256919517,0.0383916844439129,0.043062270851023
chr1,94541800,94864184,322385,*,0.0976753142015072,F3,chr1-94863751-94864616,2.78243353582193,0.00269764574611101,0.00723071027667999
chr1,94541800,94925730,383931,*,0.151208464151244,F3,chr1-94925385-94926075,4.78723868677097,8.45458440888752e-07,1.2213804507294e-05
chr1,94541800,94927221,385422,*,0.106856663774704,F3,chr1-94926761-94927680,2.72091360825558,0.00325508864565537,0.00833123006865722
chr1,94541800,95023538,481739,*,0.141298403655191,F3,chr1-95023091-95023984,3.42454666972206,0.000307913031412545,0.00137249531724517
chr1,94864184,94927278,63095,*,0.158968508127518,CNN3,chr1-94863751-94864616,2.20153809070893,0.0138489766046275,0.0226562019586
chr1,94925730,94927278,1549,*,0.125266162883396,CNN3,chr1-94925385-94926075,1.77460363258297,0.0379816785117631,0.042701714568366
chr1,94927221,94927278,58,*,0.231139405130978,CNN3,chr1-94926761-94927680,1.74403532968788,0.0405764647442781,0.0444580124964574
chr1,98558201,99005032,446832,*,0.0642360242560351,PLPPR5,chr1-98557743-98558659,1.7627820143794,0.0389686309923848,0.0434413126316846
chr1,98975304,99005032,29729,*,0.0814934486484137,PLPPR5,chr1-98974856-98975752,2.78887649145724,0.00264456156932551,0.00712008703924489
chr1,108875350,109274948,399599,*,0.0982965773584754,GPSM2,chr1-109274514-109275381,2.85201546639002,0.00217214934092163,0.00613060008266717
chr1,109263652,109741038,477387,*,0.175752610200418,GSTM3,chr1-109263195-109264109,2.30698490165696,0.010527830911582,0.01892811359271
chr1,109299861,109741038,441178,*,0.115259384220452,GSTM3,chr1-109299436-109300285,1.64699732670339,0.0497792976573794,0.0498516663144099
chr1,109426521,109741038,314518,*,0.14580257186334,GSTM3,chr1-109426069-109426973,1.72386813287324,0.0423658256702127,0.0455288636910554
chr1,109741038,110188392,447355,*,0.163174316765981,GSTM3,chr1-110187987-110188796,2.4099155333453,0.00797810708968356,0.0156447468021367
chr1,111200478,111563962,363485,*,0.0783593292157506,TMIGD3,chr1-111200014-111200941,2.12834781977948,0.0166541280220322,0.0255996829207011
chr1,111489886,111563962,74077,*,0.150502073003161,TMIGD3,chr1-111489405-111490366,5.02883549653953,2.46733753210754e-07,4.35805918674819e-06
chr1,111503746,111563962,60217,*,0.093918865826222,TMIGD3,chr1-111503350-111504142,3.24758131227235,0.000581952010657395,0.00225576575192119
chr1,111739466,111989155,249690,*,0.0593286723658663,KCND3,chr1-111739028-111739904,3.01041240309449,0.00130446594679791,0.00417197925220724
chr1,111989155,112369800,380646,*,0.0514459939645547,KCND3,chr1-112369285-112370314,2.8570492453213,0.00213799745571425,0.00606436690085536
chr1,112705055,112707434,2380,*,0.125888403026721,RHOC,chr1-112704625-112705484,1.7788048416672,0.0376358815732741,0.0426009908324713
chr1,113390749,113784185,393437,*,-0.0509774237574829,MAGI3,chr1-113783819-113784551,-2.85741904197706,0.00213550785757566,0.00606271064490362
chr1,113979238,114153919,174682,*,0.0908195977958496,SYT6,chr1-113978780-113979695,2.35801495824031,0.0091864763026233,0.0171428748959944
chr1,113979391,114126905,147515,*,0.118838714372682,OLFML3,chr1-114126463-114127346,2.62545402049944,0.0043266747651088,0.0102070575916608
chr1,114114053,114153919,39867,*,0.0606984653072501,SYT6,chr1-114113613-114114492,1.75380481542518,0.0397319788353054,0.043960336127376
chr1,114670130,114695618,25489,*,0.25668975832046,AMPD1,chr1-114669701-114670558,9.31337664756486,6.19158040977393e-21,1.57135793346999e-18
chr1,115976446,115976498,53,*,0.105564126376131,SLC22A15,chr1-115975972-115976920,2.44600920002873,0.0072223657270467,0.0146205909050458
chr1,119648273,119659798,11526,*,0.118073172810069,PHGDH,chr1-119647837-119648708,1.85298783741146,0.0319420509775167,0.0388566901845604
chr1,119659798,119711846,52049,*,0.0845002429831173,PHGDH,chr1-119711479-119712212,1.99756145796491,0.022882112637745,0.031310314171171
chr1,119659798,119732869,73072,*,0.115553281805269,PHGDH,chr1-119732425-119733312,1.76273191793687,0.0389728574128302,0.0434413126316846
chr1,120973124,121087345,114222,*,0.0818805815331513,FCGR1B,chr1-120972685-120973562,2.43973527381067,0.00734901414183415,0.0148085859556725
chr1,121087345,121511688,424344,*,0.103850306848487,FCGR1B,chr1-121511263-121512113,2.28376691126188,0.0111926166385733,0.0197478219653131
chr1,149782671,150149872,367202,*,0.122577695977583,FCGR1A,chr1-150149407-150150336,3.05279265653644,0.00113361267027138,0.00374146495280535
chr1,149782671,150163289,380619,*,0.100280375212891,FCGR1A,chr1-150162843-150163735,2.3434276014452,0.00955373510594685,0.0176047550247476
chr1,149812429,149886975,74547,*,0.0866996222157096,HIST2H2AC,chr1-149811976-149812882,3.99773493273497,3.19757534322161e-05,0.000231860275263378
chr1,149886810,149886975,166,*,0.119330099463988,HIST2H2AC,chr1-149886373-149887246,6.38840946173722,8.3810008982822e-11,4.69920771296706e-09
chr1,149886975,149888263,1289,*,0.0837225978071336,HIST2H2AC,chr1-149887809-149888717,3.84922602656882,5.92458162964992e-05,0.000381929580456844
chr1,149886975,149927897,40923,*,0.0506164018571105,HIST2H2AC,chr1-149927482-149928312,2.15606225459727,0.0155394021708828,0.0244632704107074
chr1,149886975,150236173,349199,*,0.050275162717916,HIST2H2AC,chr1-150235722-150236624,2.0015972261357,0.0226640337934485,0.0311533554595236
chr1,150007104,150010676,3573,*,0.191574537620096,OTUD7B,chr1-150006642-150007565,2.44867469769245,0.00716914394783173,0.0145617574205748
chr1,150010676,150236173,225498,*,0.151973185065655,OTUD7B,chr1-150235722-150236624,1.73409849107789,0.0414503046089829,0.0449844310972533
chr1,150010676,150282341,271666,*,0.177930267909424,OTUD7B,chr1-150281921-150282761,2.20440732699285,0.0137478554265427,0.0225330247677733
chr1,150268200,150561376,293177,*,0.0539525513170421,C1orf54,chr1-150560991-150561760,1.97548295925555,0.0241066832828971,0.0323781304519141
chr1,150268200,150567636,299437,*,0.0516185395786395,C1orf54,chr1-150567320-150567952,1.88015720323908,0.0300433281547555,0.0374169453033576
chr1,150268200,150579717,311518,*,0.0749868981458707,C1orf54,chr1-150579272-150580161,3.03613613738789,0.00119815570958069,0.0039116498521314
chr1,150268200,150611710,343511,*,0.0941176700649016,C1orf54,chr1-150611261-150612158,3.74703854995679,8.94672978022497e-05,0.000524193572299451
chr1,150268200,150613694,345495,*,0.0568100410075443,C1orf54,chr1-150613259-150614129,2.71486621955755,0.00331512739911454,0.00844901919584053
chr1,153474569,153627926,153358,*,0.0840789280252197,S100A1,chr1-153474083-153475055,1.67468803479691,0.0469977281306496,0.0481766677393691
chr1,153474569,153631360,156792,*,0.0857975092951831,S100A13,chr1-153474083-153475055,1.7083046670917,0.0437899128892251,0.0463872934867846
chr1,153506990,153774354,267365,*,0.0684924037280391,SLC27A3,chr1-153506513-153507466,3.32729388601057,0.00043846917832003,0.00181018696734519
chr1,153533367,153567890,34524,*,0.0537462283408727,S100A2,chr1-153533205-153533528,1.92290065356002,0.0272462638398641,0.0351475345735219
chr1,153536244,153566598,30355,*,0.202159388777889,S100A6,chr1-153566164-153567031,3.02261336010002,0.0012530110110006,0.00404961065351535
chr1,153536244,153609160,72917,*,0.146596133663058,S100A6,chr1-153608697-153609622,1.92042666451519,0.0274020140752726,0.0352918033843388
chr1,153566598,153567890,1293,*,0.100873237069166,S100A2,chr1-153566164-153567031,3.55354459589369,0.000190038375068655,0.000939861584185698
chr1,153566598,153627926,61329,*,0.181734041507586,S100A1,chr1-153566164-153567031,2.67413489590167,0.00374611538613255,0.00919341470397157
chr1,153566598,153631360,64763,*,0.186455978330847,S100A13,chr1-153566164-153567031,2.69729211493787,0.00349529587146915,0.00876915540698451
chr1,153567890,153572709,4820,*,0.0648389265511292,S100A2,chr1-153572257-153573160,2.09659122457446,0.0180148883870807,0.0268524858740349
chr1,153567890,153763724,195835,*,0.0708581169673301,S100A2,chr1-153763290-153764158,2.85815971686907,0.00213052928435137,0.0060538669470491
chr1,153567890,153923088,355199,*,0.0778246469725007,S100A2,chr1-153922648-153923527,2.18155409365524,0.0145712290262787,0.0234912960096008
chr1,153572709,153627926,55218,*,0.165643256554974,S100A1,chr1-153572257-153573160,2.16081006706346,0.015355007053818,0.0243033344602464
chr1,153609160,153631360,22201,*,0.14069262063327,S100A13,chr1-153608697-153609622,1.68437320370887,0.0460547830432965,0.0476199954966287
chr1,153627402,153627926,525,*,0.170458864506893,S100A1,chr1-153626985-153627818,2.257548504893,0.0119869111028904,0.020665314743703
chr1,154405367,154870280,464914,*,0.0958196032950847,KCNN3,chr1-154404941-154405792,4.27645071754589,9.4948285325743e-06,9.01261086300655e-05
chr1,154837887,154870280,32394,*,0.121376965851467,KCNN3,chr1-154837409-154838364,6.25443988238526,1.9947254900723e-10,1.04094642896879e-08
chr1,154860578,154870280,9703,*,0.237594928722976,KCNN3,chr1-154860076-154861080,8.34247350970817,3.63762346380321e-17,6.04848977326175e-15
chr1,154870280,154870345,66,*,0.0908983881664676,KCNN3,chr1-154869880-154870810,2.81314546493404,0.00245297261641107,0.00670915142163028
chr1,154870280,154955272,84993,*,0.0628905694056544,KCNN3,chr1-154954846-154955698,3.08106457017259,0.00103130957019423,0.00348980684033446
chr1,154974596,154974653,58,*,0.0995424342514237,CKS1B,chr1-154974167-154975025,2.41580301206828,0.0078502764039848,0.0154758924039308
chr1,154974653,155262361,287709,*,0.0868979821359863,CKS1B,chr1-155261931-155262791,1.78431977557289,0.0371858593173295,0.0422801729847118
chr1,156082573,156114493,31921,*,0.296006048461047,LMNA,chr1-156114034-156114951,2.23696287996376,0.0126443831152212,0.0214687378104214
chr1,156082573,156123815,41243,*,0.25048333850308,LMNA,chr1-156123394-156124235,2.04061016038279,0.0206447957306794,0.0294701399831231
chr1,156082573,156130334,47762,*,0.276726294486525,LMNA,chr1-156129870-156130798,2.40865364030861,0.00800574266650555,0.0156925573731259
